,name,org,url,pub
136,Angeliki Lazaridou,DeepMind Technologies Limited,https://dl.acm.org/profile/81485659419,Emergent Communication under Competition
137,Aaron Courville,University of Montreal,https://dl.acm.org/profile/81100464337,Emergent Communication under Competition
138,Hernan Sarmiento,University of Chile,https://dl.acm.org/profile/99659273067,Crisis communication: a comparative study of communication patterns across crisis events in social media
139,Barbara Poblete,University of Chile,https://dl.acm.org/profile/81100509285,Crisis communication: a comparative study of communication patterns across crisis events in social media
140,Chandrima Chakrabarti,Narula Institute of Technology,https://dl.acm.org/profile/99659335342,A blockchain based incentive scheme for post disaster opportunistic communication over DTN
141,Souvik Basu,Heritage Institute of Technology,https://dl.acm.org/profile/81310502532,A blockchain based incentive scheme for post disaster opportunistic communication over DTN
142,Ning Wang,Dalian University of Technology,https://dl.acm.org/profile/81321499313,Problems and Countermeasures for Disaster Reduction in China's Remote Rural Areas
143,John M. Carroll,Pennsylvania State University,https://dl.acm.org/profile/81350576124,"Network communities, community networks"
144,Mary Beth Rosson,Pennsylvania State University,https://dl.acm.org/profile/81335496622,"Network communities, community networks"
145,José Q. Rogado,Lusophone University of Humanities and Technologies,https://dl.acm.org/profile/99659078767,Decentralized Semantic Identity
146,Patrick Hock,Saga University,https://dl.acm.org/profile/99659284151,Drone monitoring system for disaster areas
147,Koki Wakiyama,Saga University,https://dl.acm.org/profile/99659445092,Drone monitoring system for disaster areas
148,Chika Oshima,Saga University,https://dl.acm.org/profile/81100329356,Drone monitoring system for disaster areas
149,Koichi Nakayama,Saga University,https://dl.acm.org/profile/81448599426,Drone monitoring system for disaster areas
150,Stephanie Foehrenbach,Zuhlke Engineering AG,https://dl.acm.org/profile/81442616146,Learn to Sketch (Even if You Can't Draw): Hands-on Sketching Course
151,Edgar N. Reyes,Southeastern Louisiana University,https://dl.acm.org/profile/81467656516,Hyperbolic geometry: an introduction for computer science students
152,Carl Steidley,Texas A and M University - Corpus Christi,https://dl.acm.org/profile/81100178419,Hyperbolic geometry: an introduction for computer science students
153,Ryan Lowe,McGill University,https://dl.acm.org/profile/99659325531,On the Pitfalls of Measuring Emergent Communication
154,Jakob Foerster,University of Oxford,https://dl.acm.org/profile/99659218441,On the Pitfalls of Measuring Emergent Communication
155,Y-Lan Boureau,Facebook Research,https://dl.acm.org/profile/81508707140,On the Pitfalls of Measuring Emergent Communication
156,Joelle Pineau,McGill University,https://dl.acm.org/profile/81100040835,On the Pitfalls of Measuring Emergent Communication
157,Yann Dauphin,Google LLC,https://dl.acm.org/profile/81488668253,On the Pitfalls of Measuring Emergent Communication
158,Michael Noukhovitch,University of Montreal,https://dl.acm.org/profile/99659694814,Emergent Communication under Competition
159,Travis LaCroix,University of Toronto,https://dl.acm.org/profile/99659695089,Emergent Communication under Competition
160,Angeliki Lazaridou,DeepMind Technologies Limited,https://dl.acm.org/profile/81485659419,Emergent Communication under Competition
161,Aaron Courville,University of Montreal,https://dl.acm.org/profile/81100464337,Emergent Communication under Competition
162,Ryan Lowe,McGill University,https://dl.acm.org/profile/99659325531,On the Pitfalls of Measuring Emergent Communication
163,Jakob Foerster,University of Oxford,https://dl.acm.org/profile/99659218441,On the Pitfalls of Measuring Emergent Communication
164,Y-Lan Boureau,Facebook Research,https://dl.acm.org/profile/81508707140,On the Pitfalls of Measuring Emergent Communication
165,Joelle Pineau,McGill University,https://dl.acm.org/profile/81100040835,On the Pitfalls of Measuring Emergent Communication
166,Yann Dauphin,Google LLC,https://dl.acm.org/profile/81488668253,On the Pitfalls of Measuring Emergent Communication
167,Niranjan Kumar Ray,Kalinga Institute of Industrial Technology,https://dl.acm.org/profile/81481645399,A framework for disaster management using wireless ad hoc networks
168,Ashok Kumar Turuk,National Institute of Technology Rourkela,https://dl.acm.org/profile/81392606590,A framework for disaster management using wireless ad hoc networks
169,Francesco Malandrino,Italian National Research Council,https://dl.acm.org/profile/81418598897,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
170,Cristina Rottondi,Politecnico di Torino,https://dl.acm.org/profile/83458796257,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
